Ingredient (Normalized),Brand/Supplier,DC Item #,Supplier #,Distributor,Pkg Type,Qty/Pkg,Unit,Cost,Cost/Unit,Priority,Product Line,Lead Time,Shelf Life,MOQ,Terms,Notes
Peanut Butter Spread,Jimbo,116070,2300216,St Charles Trading Co,Pail,35,lbs,66.5,1.9,High,Walmart,3 wks,365 days,,$10K Net 30,
Granulated Sugar,Western Sugar,119001,,Dawn Foods,Bag,,lbs,26,,High,Kroger/Walmart,,,,,
Granulated Sugar,Pioneer Sugar,119009,452152,Dawn Foods,Bag,50,lbs,26,0.52,High,Kroger/Walmart,2 wks,,N/A,Net 30,"Lead times, we ask for about 2 weeks for a pallet or more. No MOQ- just hit order min of $740 total."
Light Brown Sugar,Bakery Essentials - LBS,119002,3028179,Dawn Foods,Bag,50,lbs,33,0.66,High,Kroger/Walmart,2 wks,,N/A,Net 30,Why $33.17 ?  See Invoice
Granulated Sugar,Amerikoa Cane Sugar,119016,1530025,St Charles Trading Co,Bag,50,lbs,33,0.66,High,Kroger/Walmart,1 wk,365 days,,$10K Net 30,$0.60/lb if take a FTL
Light Brown Sugar,Amerikoa Cane Brown Sugar,119017,1530023,St Charles Trading Co,Bag,50,lbs,34.5,0.69,High,Kroger/Walmart,,365 days,,$10K Net 30,
"Sugar, Powdered (Confectionary) 10X",Amerikoa Cane Powdered Sugar,119018,1530022,St Charles Trading Co,Bag,50,lbs,36.5,0.73,High,Kroger,,365 days,,$10K Net 30,
"Sugar, Powdered (Confectionary) 10X",Bakery Essentials - PSC,119003,2492784,Dawn Foods,Bag,50,lbs,30.9,0.618,High,Kroger/Walmart,2 wks,,N/A,Net 30,"Lead times, we ask for about 2 weeks for a pallet or more. No MOQ- just hit order min of $740 total."
"Sugar, Powdered (Confectionary) 10X",Indiana Sugars,119010,3079560,Dawn Foods,Bag,50,lbs,29.9,0.598,High,Kroger/Walmart,,,,,
Homemade Cookie Butter,Assemblers LLC,111368,,Assemblers LLC,Bag,50,lbs,,,High,See Ingredients Below,,,,,
Homemade Cookie Butter,Chris's Cookie,111369,136-050CB,Chris's Cookies,Pail,45,lbs,221.95,4.932222222,High,See Ingredients Below,,,,,
DC Homemade Cookie Butter - WMT,Fresh Coast Bakery,111370,CB370-050WMT,Fresh Coast Bakery,Pail,50,lbs,,,High,See Ingredients Below,,,,,
DC Homemade Cookie Butter - KofK,Fresh Coast Bakery,111371,CB370-050KOFK,Fresh Coast Bakery,Pail,50,lbs,,,High,See Ingredients Below,,,,,
Biscoff Crumble,Lotus - 3rd Party,119004,711biscrumbk,Webstaurant,Box,16.53465,lbs,69.29,4.190593693,High,Kroger/Walmart,,,,,STATUS
Biscoff Crumble,Lotus - Direct,119011,52620,Lotus,Box,16.53465,lbs,50.33925,3.044470249,High,Kroger/Walmart,,,,,Cost is Delivered to McCook IL  ~  2.5% discount----40 boxes / Pallet
GMO Free Palm Shortening,Bakery Essentials - PAS,119005,2505248,Dawn Foods,PET,50,lbs,70,1.4,High,Kroger/Walmart,2 wks,,N/A,Net 30,"Lead times, we ask for about 2 weeks for a pallet or more. No MOQ- just hit order min of $740 total."
GMO Free Palm Shortening,Chris's Cookie,119012,,Chris's Cookie,,,,,1.28,,,,,,,
GMO Free Canola Oil,Bakery Essentials - CAO,119006,2505298,Dawn Foods,PET,35,lbs,32,0.914285714,High,Kroger/Walmart,2 wks,,N/A,Net 30,"Lead times, we ask for about 2 weeks for a pallet or more. No MOQ- just hit order min of $740 total."
GMO Free Canola Oil,Bakery Essentials - CAO MB,,,Dawn Foods,PET,35,lbs,,,High,Kroger/Walmart,2 wks,,N/A,Net 30,
GMO Free Canola Oil,Chris's Cookie,119013,,Chris's Cookie,,,,,0.91,,,,,,,
Citric Acid,Primient,119007,3000093,St Charles Trading Co,Bags,50,lbs,70.5,1.41,High,Kroger/Walmart,1-2 days,,1 bag,$10K Net 30,"FOB McCook, IL"
Citric Acid,Chris's Cookie,119014,,Chris's Cookie,,,,,1.41,,,,,,,
Sunflower Lecithin,Columbus Vegetable Oils,119008,2500169,St Charles Trading Co,Pail,44,lbs,116.16,2.64,High,Kroger/Walmart,1 week,,12 pail,$10K Net 30,36 / pallet
Sunflower Lecithin,Chris's Cookie,119015,,Chris's Cookie,,,,,2.44,,,,,,,
"Whole Milk, Powdered",Carlyn Dairy Products Inc,110015,9000082,St Charles Trading Co,Bags,50,lbs,170,3.4,Low,Everyday Baked Goods,1-2 wks,,Pallet,$10K Net 30,50 / pallet
1,Moisturlok,111003,,PENDING,Pail,55,lbs,134.2,2.44,Low,Everyday Baked Goods,,,,,
Moisturlok,Moisturlok,111003,23666,St Charles Trading Co,Pail,55,lbs,147.95,2.69,Low,Everyday Baked Goods,,,,$10K Net 30,"36 Pails per pallet.  1,980-lbs/pallet.   St Charles ($2.69/lbs)"
Vanilla Pudding Powder,St Charles,112005,,St Charles Trading Co,,,,,,,,,,,$10K Net 30,
Vanilla Pudding Powder,DYMA Brands,112004,,PENDING,,,lbs,,,Low,Everyday Baked Goods,2 wks,,N/A,,"Need Options - it's powder, Not crème"
Tray,Five Star Packaging,120001,Tray (OSP) - Kroger,Five Star Packaging,Box,1080,Each,60.48,0.056,High,Kroger/Walmart,6-8 wks,,Truckload,,"812,160 (full load qty)-  56/m -----"
Tray,Great River Plastic,121002,,Great River Plastic,,,,,,High,Kroger/Walmart,,,,,
Film - Kroger WCCB,LallyPak,120002,0-11110-15412-5,LallyPak,Roll,3400,Each,312.8,0.092,High,Kroger,4-6 wks,,200000,,Weight per Roll ~ ??? / Feet ~ 2692    12 Rolls per Pallet
Film - Kroger,LallyPak,,,LallyPak,Roll,3400,Each,,,High,Kroger,4-6 wks,,,,
Film - Kroger,LallyPak,,,LallyPak,,,,,,,,,,,,
Film - Kroger,LallyPak,,,LallyPak,Roll,3400,Each,,,High,Kroger,4-6 wks,,,,
Film - Walmart WCCB,LallyPak,120003,,LallyPak,Roll,3500,Each,289,0.082571429,High,Walmart,4-6 wks,,,,
Film - Walmart PBJ,LallyPak,120004,,LallyPak,Roll,3500,Each,289,0.082571429,High,Walmart,4-6 wks,,,,36 Rolls / pallet
Film - Walmart CCF,LallyPak,120005,,LallyPak,Roll,3500,Each,289,0.082571429,High,Walmart,4-6 wks,,,,
Black Currant Box,Green Bay Packaging,123007,13-1/16 x 11-3/4 x 7-1/2,Prime Packaging,Pallet,,Each,,,High,Walmart,,,,,
SRP - 8 CT,Green Bay Packaging,123002,8-3/4 x 6-7/16 x 6-3/4,Green Bay Packaging,Pallet,1800,Each,550.75,0.305972222,High,Walmart,,,,,
SRP - 12 CT,Green Bay Packaging,123001,6-1/2 x 13-3/4 x 7-1/2,Green Bay Packaging,Pallet,1600,Each,528,0.33,High,Kroger/Walmart,,,,,"Order QTY - 11/11 delivery of 15,120 pieces"
DC Classic Frozen Dough - 12 ct 9 x 1.5oz - Kroger Film,Dirty Cookie,123003,C-F-SC-WCCB-12-13-KF,Dirty Cookie,Case,12,Each,15.12,1.26,High,Kroger/Walmart,,,,,"Order QTY - 11/11 delivery of 15,120 pieces"
DC Classic Frozen Dough - 12 ct 4 x 3oz - WMT WCCB Film,Dirty Cookie,123004,C-F-SC-WCCB-12-12-WMT,Dirty Cookie,Case,12,Each,8.16,0.68,High,Walmart,,,,,"Order QTY - 11/11 delivery of 15,120 pieces"
DC Classic Frozen Dough - 12 ct 4 x 3oz - WMT BPG Film,Dirty Cookie,123005,C-F-SC-PBG-12-12-WMT,Dirty Cookie,Case,12,Each,8.16,0.68,High,Walmart,,,,,
DC Classic Frozen Dough - 12 ct 4 x 3oz - WMT CCF Film,Dirty Cookie,123006,C-F-SC-CCF-12-12-WMT,Dirty Cookie,Case,12,Each,8.16,0.68,High,Walmart,,,,,
